,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
2711,26711,2016,NonResidential,Other,Men'S Shelter,Downtown,1.0,6.0,29820,Other - Lodging/Residential,,,1601955.625,35.72,,47.60055,-122.33057,318 2Nd Ave Extension S,Seattle,WA,98104,112,29820.0,4970.0,1.0,0.0
2747,26719,2015,NonResidential,Small- and Mid-Sized Office,Foster White Gallery/Seattle Fire Dept,Downtown,1.0,2.0,33640,Office,,69.0,1093416.0,7.62,, 47.60025024, -122.32989502, 220 3Rd Ave S, Seattle, WA,98104,110,33640.0,16820.0,1.0,0.0
2715,26719,2016,NonResidential,Small- and Mid-Sized Office,220_3Rd_Ave_S_03262013,Downtown,1.0,2.0,33640,Office,,70.0,1078535.75,7.52,,47.60026,-122.3299,220 3Rd Ave South,Seattle,WA,98104,111,33640.0,16820.0,1.0,0.0
2748,26720,2015,NonResidential,Non-Refrigerated Warehouse,Seattle Lighting Fixture Company,Downtown,1.0,4.0,43484,Non-Refrigerated Warehouse,,18.0,1580597.0,11.02,, 47.59980278, -122.3298342, 222 2Nd Av Et S, Seattle, WA,98104,109,43484.0,10871.0,1.0,0.0
2716,26720,2016,NonResidential,Warehouse,Seattle Lighting Fixture,Downtown,1.0,4.0,43484,Non-Refrigerated Warehouse,,18.0,1567040.75,10.92,,47.59986,-122.32987,222 2Nd Ave  Ext S,Seattle,WA,98104,110,43484.0,10871.0,1.0,0.0
2752,26726,2015,NonResidential,Mixed Use Property,Buty Building,Downtown,1.0,3.0,22480,Office,,,1003659.0,7.0,, 47.59900284, -122.3272934, 501 S Jackson St, Seattle, WA,98104,115,22480.0,7493.333333333333,1.0,0.0
2720,26726,2016,NonResidential,Mixed Use Property,Buty Building,Downtown,1.0,3.0,22480,Office,,,981009.125,6.84,,47.599,-122.32717,501 South Jackson St.,Seattle,WA,98104,116,22480.0,7493.333333333333,1.0,0.0
2753,26728,2015,NonResidential,Hotel,American Hotel(Union Gospel),Downtown,1.0,4.0,33018,Hotel,,46.0,4912520.0,176.63,, 47.59852889, -122.3267445, 520 S King St, Seattle, WA,98104,90,33018.0,8254.5,1.0,0.0
2721,26728,2016,NonResidential,Hotel,American Hotel,Downtown,1.0,4.0,33018,Hotel,,49.0,4857581.5,173.67,,47.5985,-122.32677,520 S. King St.,Seattle,WA,98104,91,33018.0,8254.5,1.0,0.0
2755,26731,2015,NonResidential,Small- and Mid-Sized Office,Cathay Bank,Downtown,1.0,2.0,26510,Office,,91.0,975721.0,11.27,, 47.59624588, -122.3254469, 624 S Dearborn St, Seattle, WA,98134,45,26510.0,13255.0,1.0,0.0
2723,26731,2016,NonResidential,Small- and Mid-Sized Office,Dearborn Bldg.,Downtown,1.0,2.0,26510,Office,,91.0,987063.6875,11.18,,47.5962,-122.32548,624 S. Dearborn Bldg.,Seattle,WA,98134,46,26510.0,13255.0,1.0,0.0
2769,26759,2015,NonResidential,Non-Refrigerated Warehouse,Dunn Lumber,Lake Union,1.0,1.0,40028,Non-Refrigerated Warehouse,,78.0,962238.0,6.88,, 47.65414835, -122.3262458, 3801 Latona Ave Ne, Seattle, WA,98105,77,40028.0,40028.0,1.0,0.0
2737,26759,2016,NonResidential,Warehouse,Dunn Lumber Retail/Offices,Lake Union,1.0,1.0,40028,Non-Refrigerated Warehouse,,80.0,942415.1875,6.76,,47.65429,-122.32618,3801 Latona Av Ne,Seattle,WA,98105,78,40028.0,40028.0,1.0,0.0
2770,26761,2015,NonResidential,Small- and Mid-Sized Office,North Lake Office Building,Lake Union,1.0,3.0,44510,Office,,19.0,2308120.0,16.09,, 47.65376324, -122.3271766, 100 Ne Northlake Way, Seattle, WA,98105,8,44510.0,14836.666666666666,0.5904740507751067,0.40952594922489327
2738,26761,2016,NonResidential,Small- and Mid-Sized Office,North Lake Office Bldg.,Lake Union,1.0,3.0,44510,Office,,23.0,2188051.25,15.25,,47.65373,-122.32721,100 Ne Northlake Way,Seattle,WA,98105,9,44510.0,14836.666666666666,0.5904740507751067,0.40952594922489327
